M001160	N00026914	house	Wisconsin	Gwen	Moore	D	True	RepGwenMoore	http://www.house.gov/gwenmoore
P000596	N00029168	house	Puerto Rico	Pedro	Pierluisi	D	True	pedropierluisi	http://pierluisi.house.gov
Y000064	N00030670	house	Indiana	Todd	Young	R	True	RepToddYoung	http://toddyoung.house.gov
L000560	N00009759	house	Washington	Rick	Larsen	D	True	RepRickLarsen	http://www.house.gov/larsen
B001270	N00031877	house	California	Karen	Bass	D	True	RepKarenBass	http://bass.house.gov
F000460	N00031672	house	Texas	Blake	Farenthold	R	True	farenthold	http://farenthold.house.gov
C001051	N00025095	house	Texas	John	Carter	R	True	JudgeCarter	http://carter.house.gov
E000292	N00034884	house	Illinois	William	Enyart	D	True	repbillenyart	http://enyart.house.gov
K000360	N00012539	senate	Illinois	Mark	Kirk	R	True	senatorkirk	http://www.kirk.senate.gov
B001236	N00013873	senate	Arkansas	John	Boozman	R	True	JohnBoozman	http://www.boozman.senate.gov
G000567	N00031297	house	Arkansas	Tim	Griffin	R	True	RepTimGriffin	http://griffin.house.gov
S001157	N00024871	house	Georgia	David	Scott	D	True	repdavidscott	http://davidscott.house.gov
S001176	N00009660	house	Louisiana	Steve	Scalise	R	True	SteveScalise	http://scalise.house.gov
W000812	N00033106	house	Missouri	Ann	Wagner	R	True	RepAnnWagner	http://wagner.house.gov
J000288	N00027848	house	Georgia	Henry	Johnson	D	True	RepHankJohnson	http://hankjohnson.house.gov
R000587	N00030968	house	Wisconsin	Reid	Ribble	R	True	RepRibble	http://ribble.house.gov
P000099	N00006397	house	Arizona	Ed	Pastor	D	True		http://www.house.gov/pastor
F000455	N00030490	house	Ohio	Marcia	Fudge	D	True	RepMarciaFudge	http://fudge.house.gov
S001156	N00024870	house	California	Linda	Snchez	D	True	replindasanchez	http://lindasanchez.house.gov
R000583	N00029018	house	Florida	Thomas	Rooney	R	True	TomRooney	http://rooney.house.gov
V000127	N00009659	senate	Louisiana	David	Vitter	R	True	None	http://www.vitter.senate.gov
B000575	N00005195	senate	Missouri	Roy	Blunt	R	True	RoyBlunt	http://www.blunt.senate.gov
R000487	N00008264	house	California	Edward	Royce	R	True	RepEdRoyce	http://royce.house.gov/
